area_construida,area_util,bairro,cep,condominio,data,descricao,id,municipio,n_quartos,preco,tipo,titulo,url,vagas_garagem
,74,Jardim Cidade Universitária,58052-540,,2017-12-04,"Excelente apto nos Bancários, por trás do colégio Geo Sul, na Rua Jornalista Genésio Gambarra Filho n° 503, sendo R$750,00 aluguel + R$100,00 condomínio. Faça uma vista! Creci 500j, código: 3639",422752592,João Pessoa,3,850,Aluguel - apartamento padrão,"Apto 3 quartos, sendo 1 suíte, nos Bancários, com excelente localização",http://pb.olx.com.br/paraiba/imoveis/apto-3-quartos-sendo-1-suite-nos-bancarios-com-excelente-localizacao-422752592,1
,,Bessa,58035-000,,2017-12-04,Linda casa 2qts R $13003qts R $850Rubia Raposo 83-987072787 zap 99958174creci 5632,422840373,João Pessoa,3,850,Aluguel - casa em rua pública,Linda casa em Jaguaribe para locação,http://pb.olx.com.br/paraiba/imoveis/linda-casa-em-jaguaribe-para-locacao-422840373,
,130,Aeroclube,58036-040,R$ 500,2017-12-04,"R$:2.000 com condomínioApartamento de 3 dormitórios para locação no Bessa, João Pessoa! Excelente apartamento, recentemente entregue, com 3 quartos sendo 2 suítes mais DCE. Varanda ampla, sala para 3 ambientes. Prédio com área de lazer completa e portaria 24 horas. Possui quadra poliesportiva, piscina, sauna. Excelente localização, a poucos metros do Parque Paraiba e da praia. Tendo fácil acesso a BR.Rua Poeta Luiz Raimundo Batista de Carvalho",422842012,João Pessoa,3,1500,Aluguel - apartamento padrão,Apartamento novo e amplo com duas vagas,http://pb.olx.com.br/paraiba/imoveis/apartamento-novo-e-amplo-com-duas-vagas-422842012,2
,,Jardim Cidade Universitária,58052-520,,2017-12-04,"Excelente Apto nos Bancários, 3 quartos, suíte, com varanda e excelente localização. Na Rua Radialista Antônio Assunção de Jesus nº 640, rua calçada, garagem coberta e portão eletrônico. Aluguel R$717,00 + 133,00 condomínio. Creci 500j, código: 1036.",422753712,João Pessoa,3,850,Aluguel - apartamento padrão,Oportunidade: Apto de 3 quartos nos Bancários bem localizado,http://pb.olx.com.br/paraiba/imoveis/oportunidade-apto-de-3-quartos-nos-bancarios-bem-localizado-422753712,1
,51,Bancários,58051-510,,2017-12-04,"Super apto nos Bancários, com 2 qtos, suíte, área de lazer na cobertura, rua calçada e saneada, salão de festas, na Rua Bancário José Alexandre de Farias nº 506, próximo as 3 ruas. Creci 500j, código: 5775",422756281,João Pessoa,2,1000,Aluguel - apartamento padrão,"Excelente Apto nos Bancários com 2 quartos, suíte e piscina na cobertura",http://pb.olx.com.br/paraiba/imoveis/excelente-apto-nos-bancarios-com-2-quartos-suite-e-piscina-na-cobertura-422756281,
,68,Tambauzinho,58042-005,,2017-12-04,"Amplo Apto com 3 qtos sendo 1 suíte, em Tambauzinho na rua da oficina da Renaut, situado na Rua Antonio Gama nº 660, com água inclusa no condominio, pilotis, posição nascente, aluguel R$730,00 + R$170,00 do cond. Creci 500j, código: 4686.",422757599,João Pessoa,3,900,Aluguel - apartamento padrão,"Amplo Apto com 3 qtos sendo 1 suíte, em Tambauzinho na rua da oficina da Renaut",http://pb.olx.com.br/paraiba/imoveis/amplo-apto-com-3-qtos-sendo-1-suite-em-tambauzinho-na-rua-da-oficina-da-renaut-422757599,1
,72,Alto do Mateus,58101-370,R$ 0,2017-12-04,"3 quartos, 2 banheiros, sala ampla, comporta 8 pessoas, c máquina de lavar, microondas, geladeira grande, ar condicionado em 2 quartos, 2 Tv lcd, todo mobiliado. Há 2 quarteirões da praia",422753462,João Pessoa,3,5000,Aluguel - apartamento padrão,Alugo Apt para temporada em Camboinha,http://pb.olx.com.br/paraiba/imoveis/alugo-apt-para-temporada-em-camboinha-422753462,1
,60,Cabo Branco,58045-280,,2017-12-04,"Apartamento feito para morar com mobília fina, apenas uma locação realizada, com 02 quatros mobiliado, todo projeto com armários na cozinha e nos quartos, com split já estalados, com todo a mobília nova e de qualidade, fogão geladeira, sofá, tv entre outros.Contendo:Quarto(s): 02 sendo 01 suíte• Área útil(m²): 60,00• Sala(s): 02 ambientes• Cozinha: 01 • Varanda: 01• Área de serviço: 01• WC(s): 01• Vaga(s) de garagem: 01Obs: Valor do condomínio incluso. Localização:Cabo Branco é um bairro localizado no extremo da Zona Leste, de João Pessoa, capital do estado da Paraíba. Sua avenida principal recebe o seu nome e fica paralela à praia, onde se localiza a maior parte de seu comércio. É também muito utilizada para corridas, caminhadas e ciclismo.É considerado um bairro tranquilo pelos moradores, apesar de nele se situar uma das praias mais frequentadas pelos turistas da cidade, em virtude de sua orla possuir grande quantidade de hotéis, pousadas, bares e restaurantes. Um importante marco geográfico situa-se próximo do Cabo Branco, o ponto mais oriental das Américas, denominado Ponta do Seixas.",422759951,João Pessoa,2,2700,Aluguel - apartamento padrão,Excelente Apartamento Mobiliado no Cabo Branco - código: 1424,http://pb.olx.com.br/paraiba/imoveis/excelente-apartamento-mobiliado-no-cabo-branco-codigo-1424-422759951,1
,76,Jardim Cidade Universitária,58052-510,,2017-12-04,"Apto com uma mesa projetada de estudo no quarto, portão eletrônico, cerca elétrica, garagem coberta. Na rua lateral ao GEO, Rua Bel. Wilson Flavio M. Coutinho nº 642, faça uma visita! Creci 500j, código: 5774. Aluguel R$795 + R$155,00.",422755050,João Pessoa,3,950,Aluguel - apartamento padrão,Excelente Apto nos Bancários com 3 quartos e 3 varandas,http://pb.olx.com.br/paraiba/imoveis/excelente-apto-nos-bancarios-com-3-quartos-e-3-varandas-422755050,1
,92,Manaíra,58038-260,R$ 0,2017-12-04,"Apartamento em Manaíra, com excelente localização, próximo a padaria, supermercado, academia, shoppings. Prédio familiar com portão automático, cerca elétrica, bicicletario, vaga individual de garagem e 2 vagas rotativas.Apartamento 202 do Edf. Rio Negro, com 3 quartos sendo um reversível, sala ampla para 2 ambientes, cozinha ampla, area de serviço, varanda, todos os banheiros com blindex.Aluguel direto com o proprietário, já incluso condomínio e eventuais taxas extras. Condomínio ja incluso água.Rua Jaime Carvalho de Melo, 1684 (vizinho a Redepharma do retão)Confira excelente oportunidade!Contatos: Genildo 83 99315-1277 (fone) Eduardo 84 99948-2381 (fone/watsapp)",422765990,João Pessoa,3,1250,Aluguel - apartamento padrão,Apartamento em Manaira,http://pb.olx.com.br/paraiba/imoveis/apartamento-em-manaira-422765990,1
,59,Jardim Cidade Universitária,58052-136,R$ 0,2017-12-04,"Apto com 2 quartos, sala em L, WC social e wc suíte com boxes e armários, suíte, cozinha com área de serviço, fogão Cooktop e móveis planejados.Condomínio com piscina adulto e criança, salão de festas, academia e playground",422766885,João Pessoa,2,1100,Aluguel - apartamento padrão,Apto disponível,http://pb.olx.com.br/paraiba/imoveis/apto-disponivel-422766885,1
,85,Bessa,58035-000,,2017-12-04,"#ALUGO #APARTAMENTO #BESSA ✔R$ 1.100,00 com condomínio Apartamento super aconchegante, com projetados na cozinha, banheiros, posição sul.📌1 vaga de garagem, prédio com portão eletrônico. Fácil acesso a ônibus, localização privilegiada! Próximo as principais vias de acesso, shopping, parque, farmácias e panificadoras.📌 Sala para 2 ambientes com varanda📌 Cozinha projetada mais área de serviço independente e despensa.📌 3 quartos sendo 1 suíte 📌 Banheiros com box.Agende já uma visita 986225080 oi Whatsapp 998492464 Tim988436662CRECI 6978f",422832878,João Pessoa,3,1100,Aluguel - apartamento padrão,"Apto no Bessa, 3qrts-s/1suíte, posição sul, 1º andar",http://pb.olx.com.br/paraiba/imoveis/apto-no-bessa-3qrts-s-1suite-posicao-sul-1-andar-422832878,1
,60,Jardim Oceania,58037-051,,2017-12-04,"Apartamento no Bessa, na Av. Fernando Luiz Henrique, contendo: 02 quartos sendo 01 suíte, WC social, sala, varanda, cozinha, área de serviço. 5° andar, posição nascente sul. Prédio com Elevador, salão de festa e porteiro 24 horas. Valor já incluso condomínio: R$ 1.400,00CRECI 3735-PB",422773278,João Pessoa,2,1400,Aluguel - apartamento padrão,"Bessa, 02 quartos s/01 suíte + Varanda",http://pb.olx.com.br/paraiba/imoveis/bessa-02-quartos-s-01-suite-varanda-422773278,1
,60,Bessa,58035-000,,2017-12-04,"#ALUGO #APARTAMENTO #BESSA #NASCENTE #PERTINHODOMARApartamento recém construído no Bessa, próximo ao mar, 2 andar escada, 1 vaga de garagem coberta, prédio com portão eletrônico, cerca elétrica.✔R$ 930,00 com condomínio e gás📍sala ampla com janelão 📍Cozinha americana com armários mais área de serviço 📍2 quartos sendo 1 suíte📍Banheiros com boxAgende já uma visita 986225080 oi Whatsapp 998492464 Tim988436662CRECI 6978f",422837313,João Pessoa,2,930,Aluguel - apartamento padrão,"Apto no Bessa, recém construido, 150 mts do mar, 2 qrts, 2º andar, cozinha projetada",http://pb.olx.com.br/paraiba/imoveis/apto-no-bessa-recem-construido-150-mts-do-mar-2-qrts-2-andar-cozinha-projetada-422837313,1
,,Ernesto Geisel,58075-000,,2017-12-04,"Apartamento no Valentina próximo a faculdade facene Detran. Aluguel 450,002 quartos 1 suíte.SalaCozinhaBanheiro social.A parti de 60 metros.1 andar com varanda É preciso comprovar renda !INFORMAÇÕES :98803-1149 Whats99639-3681 TimAlisson BezerraCreci 8042",422771935,João Pessoa,2,450,Aluguel - apartamento padrão,Apartamento para Alugar próximo a facene,http://pb.olx.com.br/paraiba/imoveis/apartamento-para-alugar-proximo-a-facene-422771935,1
,52,Tambaú,58039-970,,2017-12-04,"Apartamento já mobiliado, na posição sul, acima do decimo andar, com uma vista linda de Tambaú, com condomínio incluso, fica próximo a Epitácio pessoa e a 05 quadra das prais de Tambaú / cabo branco, prédio novo recém entregue. Agende já sua visita.Tipologia dos Apartamentos - 02 quartos - 01 vaga de garagem52,00m²02 quartos01 suítevarandasalaWC socialpré-instalação para AC Split 01 vaga de garagemÁreas ComunsHall de acesso aos elevadoresrestaurantepiscina com deck e gourmetespaço gourmetespaço fitnessguarita de segurançahall com recepção administraçãolavanderiasolárioPavimento cobertura:Piscina com Deck e Gazebo de apoioEspaço GourmetFitnessSolárioOBS:Próximo a Bancos, Supermercados, Farmácias, Escolas, Restaurantes, Padarias, Lavanderias, Clínicas, Postos de Gasolina etc...",422774090,João Pessoa,2,2300,Aluguel - apartamento padrão,Apartamento 02 Quartos Tambaú Mobiliado e bem localizado - código 1814,http://pb.olx.com.br/paraiba/imoveis/apartamento-02-quartos-tambau-mobiliado-e-bem-localizado-codigo-1814-422774090,1
,59,Cabo Branco,58045-280,,2017-12-04,"Ouvir a onda bater, ver o sol nascer, sentir o cheiro do mar. Um empreendimento que oferece tudo isso e todo o tempo para curtir a vida, para a diversão, para o lazer e para viver o melhor dos dias. São vários tipos de apartamentos, duas torres e áreas comuns fantásticas!contendo:Quarto(s): 02 sendo 01 suíte• Área útil(m²): 59,80• Sala(s): 02 ambientes• Cozinha: 01 • Varanda: 01• Área de serviço: 01• Posição: Nasc/Sul• WC(s): 01 • Vaga(s) de garagem: 01Com armários e ar condicionados split.Conforto•Deck Piscina•Redário•Terraço•Espaço Fitness•Home Cinema•PraçasLazer•Bar de Piscina•Piscina•Sala de JogosConveniência•Passarela Coberta•Lavanderia•Salão de FestaOBS: Valor do condmínio incluso no aluguel!Localização:Cabo Branco é um bairro localizado no extremo da Zona Leste, de João Pessoa, capital do estado da Paraíba. Sua avenida principal recebe o seu nome e fica paralela à praia, onde se localiza a maior parte de seu comércio. É também muito utilizada para corridas, caminhadas e ciclismo.É considerado um bairro tranquilo pelos moradores, apesar de nele se situar uma das praias mais frequentadas pelos turistas da cidade, em virtude de sua orla possuir grande quantidade de hotéis, pousadas, bares e restaurantes. Um importante marco geográfico situa-se próximo do Cabo Branco, o ponto mais oriental das Américas, denominado Ponta do Seixas.",422779584,João Pessoa,2,2500,Aluguel - apartamento padrão,Excelente Apart no Cabo Branco - cód. 2062,http://pb.olx.com.br/paraiba/imoveis/excelente-apart-no-cabo-branco-cod-2062-422779584,1
,110,Manaíra,58038-530,,2017-12-04,"Excelente apartamento para alugar em um dos bairros nobres de João Pessoa, Manaira, em uma ótima localização, perto de tudo. Agenda já sua visita!Contendo:• Quarto(s): 03 sendo 02 suíte Todos projetaos• Área útil(m²): 110• Varanda: 01• Vaga(s) de garagem: 02• Sala(s): 02 Ambientes• Cozinha: 01 projetada• Wc(s): 01 projetado• Posição: nascente sul• Área de serviço: 01DCEAndar 5OBS: Valor incluso condomínio, Água e gás. O Apt 502 e 901 estão disponíveis tb.Localização:Manaíra é um bairro da Zona Leste de João Pessoa, capital do estado da Paraíba. O bairro possui área comercial, vários restaurantes, lanchonetes, hotéis, supermercados e lojas de vários segmentos, excelentes colégios de ensino fundamental e médio, várias praças arborizadas e possuindo uma bela orla marítima(Praia de Manaíra). É um dos bairros com melhor IQV (Índice de qualidade de vida) do Estado.É o mais verticalizado de João Pessoa e ainda é muito procurado pelas construtoras.",422780824,João Pessoa,3,2300,Aluguel - apartamento padrão,Excelente Empreendimento em Manaira com 110 M - cod: 2078,http://pb.olx.com.br/paraiba/imoveis/excelente-empreendimento-em-manaira-com-110-m-cod-2078-422780824,2
,60,Tambaú,58039-000,,2017-12-04,"#ALUGO #TAMBAU #APARTAMENTO ✔R$ 1.500,00 ( COM CONDOMÍNIO )Prédio próximo a escolas, supermercados. Portaria 24 horas, salão de festas, piscina adulto e infantil. 1 vaga de garagem rotativa, 1° andar, posição sul.📍2 Quartos sendo 1 suíte com projetados📍Sala com janelão 📍Wc social com box e projetados📍Cozinha mais área de serviço projetada.Agende já uma visita Camila Camelo CRECI 8675 (83) 986225080Karla Barbalho CRECI 6978 (83) 988436662/998492464",422842409,João Pessoa,2,1500,Aluguel - apartamento padrão,"Apto em Tambaú, acabamento top 2 qrts s/ 1 suite, localização privilegiada",http://pb.olx.com.br/paraiba/imoveis/apto-em-tambau-acabamento-top-2-qrts-s-1-suite-localizacao-privilegiada-422842409,1
,60,Cabo Branco,58045-280,,2017-12-04,"Sinta a Brisa do mar enquanto Passeia Tranquilamente pela praia mais charmosa da cidade,Cabo Branco, é estar em contato com tudo de melhor que uma boa localização pode oferecer.Excelente apartamento na melhor localização em um dos bairros nobres de João Pessoa, perto de tudo: Padaria, supermercados, farmácia, locadora, lavanderia, lava jato, restaurantes, doceria, sorveteria, bancos e outros..Apartamento feito para morar com mobília fina, apenas uma locação realizada, com 02 quatros mobiliado, todo projeto com armários na cozinha e nos quartos, com split já estalados, com todo a mobília nova e de qualidade, fogão geladeira, sofá, tv entre outros.Contendo:Quarto(s): 02 sendo 01 suíte• Área útil(m²): 60,00• Sala(s): 02 ambientes• Cozinha: 01 • Varanda: 01• Área de serviço: 01• WC(s): 01• Vaga(s) de garagem: 01Obs: Valor do condomínio incluso no aluguel. Localização:Cabo Branco é um bairro localizado no extremo da Zona Leste, de João Pessoa, capital do estado da Paraíba. Sua avenida principal recebe o seu nome e fica paralela à praia, onde se localiza a maior parte de seu comércio. É também muito utilizada para corridas, caminhadas e ciclismo.É considerado um bairro tranquilo pelos moradores, apesar de nele se situar uma das praias mais frequentadas pelos turistas da cidade, em virtude de sua orla possuir grande quantidade de hotéis, pousadas, bares e restaurantes. Um importante marco geográfico situa-se próximo do Cabo Branco, o ponto mais oriental das Américas, denominado Ponta do Seixas.",422787182,João Pessoa,2,3500,Aluguel - apartamento padrão,Excelente Empreendimento no Cabo Branco- cód. 2233,http://pb.olx.com.br/paraiba/imoveis/excelente-empreendimento-no-cabo-branco-cod-2233-422787182,1
,52,Bancários,58051-785,,2017-12-04,"Alugo ótimo apartamento no bairro dos bancários. Prédio novo, ótima localização, por trás do colégio Séculos e perto de Faculdades, supermercados, farmácias, bancos e do Shopping Sul. Possui uma área de 52m2 que são divididos em dois quartos, sendo um com suíte, wc social, sala ampla pra dois ambientes, cozinha e área de serviço. Possui antena embutida nos quartos e na sala. Aluguel + condomínio por R$ 900,00",408588992,João Pessoa,2,900,Aluguel - apartamento padrão,Apartamento nos Bancários,http://pb.olx.com.br/paraiba/imoveis/apartamento-nos-bancarios-408588992,1
,85,Manaíra,58038-530,,2017-12-04,"Excelente apartamento em Manaira contendo:Quarto(s): 03 sendo 01 suíte• Área útil(m²): 85,00• Sala(s): 02 Ambientes com varanda• Cozinha: 01• Área de serviço: 01• Posição: Nasc/ Norte• WC(s): 01• Vaga(s) de garagem: 01• Piscina• Portaria 24hs• Academia• Salão de festas• ElevadorOBS: Valor do aluguel inclui o condominio!Localização:Manaíra é um bairro da Zona Leste de João Pessoa, capital do estado da Paraíba. O bairro possui área comercial, vários restaurantes, lanchonetes, hotéis, supermercados e lojas de vários segmentos, excelentes colégios de ensino fundamental e médio, várias praças arborizadas e possuindo uma bela orla marítima(Praia de Manaíra). É um dos bairros com melhor IQV (Índice de qualidade de vida) do Estado.É o mais verticalizado de João Pessoa e ainda é muito procurado pelas construtoras.",422787883,João Pessoa,3,1800,Aluguel - apartamento padrão,Excelente Apart em Manaira - cód. 2239,http://pb.olx.com.br/paraiba/imoveis/excelente-apart-em-manaira-cod-2239-422787883,1
,,Varjão,58070-140,,2017-12-04,"casa com 2 quartos, 1 com suíte/ 1 sala/ 1 cozinha/ 1 banheiro/ garagem com vaga para 1 carro/ com uma pequena área no quintal.",422799478,João Pessoa,2,500,Aluguel - casa em rua pública,Alugo casa no bairro das indústrias,http://pb.olx.com.br/paraiba/imoveis/alugo-casa-no-bairro-das-industrias-422799478,
,70,Jardim Cidade Universitária,58052-510,,2017-12-04,"Apartamento contendo 03 quartos, sendo uma suite, sala com varanda, garagem coberta, portão Elétrico e rua calçada, próximo da Igreja Santo Antonio e do Colégio Geo Sul e Poligno, Banco do Brasil e Supermercado Extra, condomínio incluso no aluguel...contato com Jonas 9 8833 4902.",422800911,João Pessoa,3,850,Aluguel - apartamento padrão,Apartamento 03 Quartos nos Bancários,http://pb.olx.com.br/paraiba/imoveis/apartamento-03-quartos-nos-bancarios-422800911,1
,106,Miramar,58032-000,,2017-12-04,"Apto com 3 qts com armários, sendo 1 suíte + DCE, área de serviço, wc social, armários embutidos na cozinha e banheiros. Edifício com ótima área de lazer.(Valor do aluguel incluso o condomínio)Características: Academia, varanda, área de serviço, quarto de empregada, piscina, salão de festas e jogos, pista de caminhada, quadra poliesportiva, churrasqueira, porteiro 24h.",368605913,João Pessoa,3,2100,Aluguel - apartamento padrão,"Aluga-se apartamento em Miramar, com 3qts sendo 1 suíte, com ótima área de lazer",http://pb.olx.com.br/paraiba/imoveis/aluga-se-apartamento-em-miramar-com-3qts-sendo-1-suite-com-otima-area-de-lazer-368605913,2
,55,Jardim Oceania,58037-005,,2017-12-04,"Aprtamento no geisel com 2 quartos sendo 2 suítes,sala, cozinha 1 garagem excelente localização prox a caixa, Carajas, Farmacia, supermercado zap 99603.6770/ 98680.0917",422823337,João Pessoa,2,600000,Aluguel - apartamento padrão,Aluga apt geisel prox caixa 600.000,http://pb.olx.com.br/paraiba/imoveis/aluga-apt-geisel-prox-caixa-600-000-422823337,1
,,Jardim Cidade Universitária,58051-590,,2017-12-04,"Apartamento no TérreoNo Bairro dos bancários...Jd. Cidade universitariaApartamento com 2 quartos sendo uma suíte, Banheiro social, Cozinha,Box de blindex nos dois banheiros, Área de Serviço, Sala para dois ambientes, uma vaga de garagem . VALOR DO ALUGUEL R$ 700,00CONDOMINIO INCLUSOAGENDE JÁ SUA VISITACONTATO: VALDO WHATSAPP 83 - 98821-3994creci – 2883 fLocalização do imóvel:Rua Dr. Ephigênio Barbosa da silva, 399.",422804985,João Pessoa,2,700,Aluguel - apartamento padrão,Apartamento nos Bancarios,http://pb.olx.com.br/paraiba/imoveis/apartamento-nos-bancarios-422804985,1
,60,Jardim Cidade Universitária,58051-821,R$ 100,2017-12-04,"Excelente opção com 2qts , sala para 2 ambientes , wcs , cozinha , área de serviço , wc de serviço , interfone e 1vg .Valor com condomínio incluso R$ 700,00 .Agende sua visita (83) 99920.6708 / 98882.3307 Whatsapp. Alirio Trigueiro - Creci 3521",422800443,João Pessoa,2,700,Aluguel - apartamento padrão,Está procurando Apartamento para Alugar nos Bancários em João Pessoa -Pb,http://pb.olx.com.br/paraiba/imoveis/esta-procurando-apartamento-para-alugar-nos-bancarios-em-joao-pessoa-pb-422800443,1
